[HEADER]
17-10-2022
11:42:16


[DATA]
[s]	[±0.008 bar]
time	pres
0.497	0.024
0.498	0.021
0.499	-0.012
0.500	0.003
0.501	-0.001
0.502	-0.009
0.503	-0.000
0.504	-0.021
0.505	0.004
0.506	-0.021
0.507	0.016
0.508	0.006
0.509	0.015
0.510	-0.008
0.511	0.014
0.512	-0.009
0.513	0.032
0.514	0.001
0.515	-0.017
0.516	0.002
0.517	-0.017
0.518	0.003
0.519	0.021
0.520	-0.006
0.521	-0.003
0.522	0.007
0.523	0.002
0.524	0.024
0.525	-0.004
0.526	0.020
0.527	0.016
0.528	-0.004
0.529	0.004
0.530	-0.011
0.531	-0.009
0.532	0.001
0.533	0.023
0.534	0.012
0.535	0.012
0.536	0.013
0.537	0.017
0.539	0.018
0.539	0.011
0.540	0.007
0.541	-0.005
0.542	0.018
0.543	0.021
0.544	0.002
0.545	0.009
0.546	-0.001
0.547	-0.014
0.548	-0.015
0.549	-0.005
0.550	0.005
0.551	0.042
0.552	0.022
0.553	0.013
0.554	0.015
0.555	-0.013
0.556	0.009
0.557	-0.015
0.558	-0.020
0.559	-0.012
0.560	-0.024
0.561	-0.003
0.562	0.013
0.563	0.008
0.564	0.004
0.565	0.014
0.566	0.017
0.567	0.001
0.568	0.006
0.569	0.031
0.570	0.026
0.572	-0.010
0.573	0.020
0.573	0.024
0.574	0.016
0.575	-0.002
0.576	-0.015
0.577	0.032
0.578	0.038
0.579	0.044
0.580	0.016
0.581	0.030
0.582	0.004
0.583	0.011
0.584	0.015
0.585	0.023
0.586	0.045
0.588	0.018
0.589	-0.018
0.589	0.006
0.590	-0.004
0.591	-0.024
0.592	-0.009
0.593	0.020
0.594	0.038
0.595	0.033
0.596	0.011
0.597	-0.017
0.598	0.007
0.599	0.001
0.600	0.021
0.601	-0.007
0.602	-0.009
0.603	-0.028
0.604	-0.017
0.605	0.007
0.606	0.010
0.607	-0.001
0.608	-0.026
0.609	-0.014
0.610	-0.007
0.611	-0.012
0.612	-0.027
0.613	0.011
0.614	0.015
0.615	0.029
0.617	-0.001
0.617	0.019
0.618	0.026
0.619	0.022
0.620	0.008
0.621	0.003
0.622	0.008
0.623	0.008
0.624	-0.005
0.625	0.020
0.626	0.038
0.627	-0.005
0.628	-0.012
0.629	-0.013
0.630	-0.010
0.631	-0.002
0.632	-0.017
0.633	0.007
0.634	0.003
0.635	-0.008
0.636	0.017
0.637	-0.019
0.638	0.017
